period,10y,2y,3m,10y_lvl,2y_lvl,3m_lvl,spread_10y_2y,inverted,prob_recession
1,0.0,0.0,1.0,3.2,2.8,3.5,0.40000000000000036,False,0.17309631995527108
2,0.0,1.0,0.0,3.2,3.8,2.5,-0.5999999999999996,True,0.5350616619281978
3,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
4,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
5,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
6,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
7,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
8,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
9,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
10,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
11,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
12,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
13,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
14,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
15,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
16,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
17,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
18,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
19,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
20,0.0,0.0,0.0,3.2,2.8,2.5,0.40000000000000036,False,0.17309631995527108
