pipeline,dataset,comparison,baseline_method,n,baseline_rank_brier_loss,exponential_rank_brier_loss,loss_diff_baseline_minus_exp,dm_stat_positive_exp_better,p_one_sided_exp_better,exp_lower_loss,significant_5pct
CNN autoencoder,US1M,exponential vs cosine,cosine,200,0.33250414593698174,0.3325041459369818,-5.551115123125783e-17,-1.972401703042338e-16,0.5000000000000001,False,False
CNN autoencoder,US1M,exponential vs arctan,arctan,200,0.3325041459369818,0.3325041459369818,0.0,-2.917197901107358e-16,0.5000000000000001,False,False
CNN autoencoder,US1M,exponential vs arccosh,arccosh,200,0.33250414593698174,0.3325041459369818,-5.551115123125783e-17,-2.9499629053879933e-16,0.5000000000000001,False,False
f-AnoGAN standalone,US1M,exponential vs cosine,cosine,200,0.3210116086235489,0.3559369817578773,-0.03492537313432842,-2.5475558109776757,0.9945759750376366,False,False
f-AnoGAN standalone,US1M,exponential vs arctan,arctan,200,0.2592205638474295,0.3559369817578773,-0.09671641791044783,-6.621301161652847,0.9999999999821975,False,False
f-AnoGAN standalone,US1M,exponential vs arccosh,arccosh,200,0.39678275290215587,0.3559369817578773,0.040845771144278564,2.6373379761327205,0.004177976619769788,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US1M,exponential vs cosine,cosine,200,0.36792703150912104,0.35270315091210613,0.015223880597014905,1.172240275796709,0.1205503012185132,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US1M,exponential vs arctan,arctan,200,0.37852404643449417,0.35270315091210613,0.025820895522388032,1.815432944428406,0.03472870106298418,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US1M,exponential vs arccosh,arccosh,200,0.3640961857379768,0.35270315091210613,0.011393034825870674,0.8309433595126016,0.2030028137162125,True,False
CNN autoencoder,US30Y,exponential vs cosine,cosine,200,0.33250414593698174,0.3325041459369818,-5.551115123125783e-17,9.564627333842129e-17,0.49999999999999994,False,False
CNN autoencoder,US30Y,exponential vs arctan,arctan,200,0.33250414593698174,0.3325041459369818,-5.551115123125783e-17,-4.892170055389771e-16,0.5000000000000002,False,False
CNN autoencoder,US30Y,exponential vs arccosh,arccosh,200,0.33250414593698174,0.3325041459369818,-5.551115123125783e-17,0.0,0.5,False,False
f-AnoGAN standalone,US30Y,exponential vs cosine,cosine,200,0.42140961857379766,0.3946434494195688,0.026766169154228858,1.8470322670020296,0.03237123196584787,True,True
f-AnoGAN standalone,US30Y,exponential vs arctan,arctan,200,0.37643449419568825,0.3946434494195688,-0.018208955223880552,-1.2360301559185165,0.8917763227015043,False,False
f-AnoGAN standalone,US30Y,exponential vs arccosh,arccosh,200,0.3937479270315092,0.3946434494195688,-0.0008955223880596219,-0.05407736431881519,0.5215632367449791,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US30Y,exponential vs cosine,cosine,200,0.36466832504145935,0.34427031509121064,0.020398009950248708,1.4084182447072302,0.07950362995058431,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US30Y,exponential vs arctan,arctan,200,0.3388971807628524,0.34427031509121064,-0.005373134328358231,-0.36624715575217914,0.6429096711405135,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US30Y,exponential vs arccosh,arccosh,200,0.43695688225538976,0.34427031509121064,0.09268656716417911,3.9177222090598196,4.469481638035978e-05,True,True
