pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
CNN autoencoder,US1M,US Treasury yield 1 month,exponential,0.91,0.0,0.0,0.0,,,,,,200,0,200,0.0533119589090347,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1M,US Treasury yield 1 month,arctan,0.91,0.0,0.0,0.0,,,,,,200,0,200,0.0071272035129368,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1M,US Treasury yield 1 month,cosine,0.86,0.0,0.0,0.0,,,,,,200,0,200,0.0442327409982681,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1M,US Treasury yield 1 month,arccosh,0.835,0.0,0.0,0.0,,,,,,200,0,200,0.0222592409700155,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,exponential,0.685,0.3225806451612903,0.1923076923076923,0.2409638554216867,0.4387993762993763,,,,,200,52,148,0.2491957247257232,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,cosine,0.675,0.2758620689655172,0.1538461538461538,0.1975308641975308,0.5300155925155925,,,,,200,52,148,0.1222456395626068,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,arctan,0.73,0.4,0.0769230769230769,0.1290322580645161,0.6913981288981289,,,,,200,52,148,0.0243551358580589,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,arccosh,0.62,0.0384615384615384,0.0192307692307692,0.0256410256410256,0.3321205821205821,,,,,200,52,148,0.0536330826580524,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,cosine,0.53,0.3333333333333333,0.02173913043478261,0.04081632653061224,0.428341384863124,2.0,4.0,104.0,90.0,200,92,108,0.1459841802716255,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,exponential,0.49,0.0,0.0,0.0,0.4591384863123993,0.0,10.0,98.0,92.0,200,92,108,0.1016047157347201,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,arctan,0.515,0.0,0.0,0.0,0.4069041867954911,0.0,5.0,103.0,92.0,200,92,108,0.05058818608522415,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,arccosh,0.53,0.0,0.0,0.0,0.4360909822866345,0.0,2.0,106.0,92.0,200,92,108,0.08287587910890577,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,ensemble,0.51,0.0,0.0,0.0,0.4155595813204509,0.0,6.0,102.0,92.0,200,92,108,1.737363261853688,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
CNN autoencoder,US30Y,US Treasury yield 30 year,arctan,0.955,0.0,0.0,0.0,,,,,,200,0,200,0.0114500438794493,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US30Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US30Y,US Treasury yield 30 year,cosine,0.935,0.0,0.0,0.0,,,,,,200,0,200,0.0513881407678127,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US30Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US30Y,US Treasury yield 30 year,exponential,0.91,0.0,0.0,0.0,,,,,,200,0,200,0.0773370042443275,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US30Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US30Y,US Treasury yield 30 year,arccosh,0.865,0.0,0.0,0.0,,,,,,200,0,200,0.019981762394309,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20\cnn_autoencoder\US30Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
