pipeline,method,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,n_rows
CNN autoencoder,arccosh,0.85,0.0,0.0,0.0,,2
CNN autoencoder,arctan,0.9325,0.0,0.0,0.0,,2
CNN autoencoder,cosine,0.8975,0.0,0.0,0.0,,2
CNN autoencoder,exponential,0.91,0.0,0.0,0.0,,2
Hybrid TadGAN-GAF-f-AnoGAN,exponential,0.645,0.5,0.012195121951219514,0.02380952380952381,0.4614299579897631,2
Hybrid TadGAN-GAF-f-AnoGAN,arccosh,0.6625000000000001,0.25,0.012195121951219514,0.02325581395348837,0.3070161921710822,2
Hybrid TadGAN-GAF-f-AnoGAN,cosine,0.6625000000000001,0.16666666666666666,0.010869565217391306,0.02040816326530612,0.41458486638462233,2
Hybrid TadGAN-GAF-f-AnoGAN,arctan,0.655,0.0,0.0,0.0,0.4435962872925147,2
f-AnoGAN standalone,exponential,0.6775,0.16129032258064516,0.09615384615384615,0.12048192771084335,0.38825363825363823,2
f-AnoGAN standalone,cosine,0.685,0.1379310344827586,0.0769230769230769,0.0987654320987654,0.39890852390852394,2
f-AnoGAN standalone,arctan,0.72,0.2,0.03846153846153845,0.06451612903225805,0.5383316008316008,2
f-AnoGAN standalone,arccosh,0.6775,0.0192307692307692,0.0096153846153846,0.0128205128205128,0.3360836798336798,2
