pipeline,dataset,comparison,baseline_method,n,baseline_rank_brier_loss,exponential_rank_brier_loss,loss_diff_baseline_minus_exp,dm_stat_positive_exp_better,p_one_sided_exp_better,exp_lower_loss,significant_5pct
CNN autoencoder,US1M,exponential vs cosine,cosine,200,0.3539469320066335,0.3420563847429519,0.011890547263681606,1.3006338338957084,0.09669191010854453,True,False
CNN autoencoder,US1M,exponential vs arctan,arctan,200,0.3402155887230514,0.3420563847429519,-0.0018407960199005036,-0.2200157590198895,0.5870705592591571,False,False
CNN autoencoder,US1M,exponential vs arccosh,arccosh,200,0.4059369817578773,0.3420563847429519,0.06388059701492538,4.738252572728411,1.0778451358298297e-06,True,True
f-AnoGAN standalone,US1M,exponential vs cosine,cosine,200,0.30046434494195684,0.324195688225539,-0.023731343283582174,-1.6064422730339891,0.9459116154915918,False,False
f-AnoGAN standalone,US1M,exponential vs arctan,arctan,200,0.29086235489220563,0.324195688225539,-0.03333333333333338,-3.04208876146961,0.9988252869825485,False,False
f-AnoGAN standalone,US1M,exponential vs arccosh,arccosh,200,0.41369817578772805,0.324195688225539,0.08950248756218904,5.581047252239817,1.1953733815862601e-08,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US1M,exponential vs cosine,cosine,200,0.3815339966832504,0.3654145936981758,0.016119402985074582,1.0432273688606375,0.14842150028717147,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US1M,exponential vs arctan,arctan,200,0.3492454394693201,0.3654145936981758,-0.01616915422885573,-1.4494612134235725,0.9263955877241103,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US1M,exponential vs arccosh,arccosh,200,0.3457131011608623,0.3654145936981758,-0.019701492537313514,-1.7872997164093145,0.9630554700761169,False,False
CNN autoencoder,US30Y,exponential vs cosine,cosine,200,0.4787728026533997,0.46444444444444444,0.014328358208955283,1.7944719224617098,0.03636893810998886,True,True
CNN autoencoder,US30Y,exponential vs arctan,arctan,200,0.42524046434494195,0.46444444444444444,-0.03920398009950249,-3.8168072389813115,0.9999324051476477,False,False
CNN autoencoder,US30Y,exponential vs arccosh,arccosh,200,0.4526533996683251,0.46444444444444444,-0.011791044776119364,-0.7616602592931909,0.7768686001000109,False,False
f-AnoGAN standalone,US30Y,exponential vs cosine,cosine,200,0.41683250414593703,0.4317081260364843,-0.014875621890547253,-1.1331785800374863,0.8714303662845302,False,False
f-AnoGAN standalone,US30Y,exponential vs arctan,arctan,200,0.37006633499170816,0.4317081260364843,-0.06164179104477613,-4.2585064443842855,0.9999897101356016,False,False
f-AnoGAN standalone,US30Y,exponential vs arccosh,arccosh,200,0.3909618573797678,0.4317081260364843,-0.04074626865671649,-2.4912607254128694,0.9936354663682943,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US30Y,exponential vs cosine,cosine,200,0.378698175787728,0.34626036484245437,0.03243781094527365,2.5531351731321195,0.00533790275690709,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US30Y,exponential vs arctan,arctan,200,0.34745439469320066,0.34626036484245437,0.001194029850746292,0.0764931310707881,0.4695133892886511,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US30Y,exponential vs arccosh,arccosh,200,0.4019320066334992,0.34626036484245437,0.055671641791044835,2.853084649848853,0.002164854324717441,True,True
