pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
CNN autoencoder,US1M,US Treasury yield 1 month,exponential,0.725,0.4117647058823529,0.1346153846153846,0.2028985507246377,0.475051975051975,,,,,200,52,148,0.0534945130348205,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1M,US Treasury yield 1 month,arctan,0.7,0.25,0.0769230769230769,0.1176470588235294,0.4798596673596673,,,,,200,52,148,0.0061434525996446,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1M,US Treasury yield 1 month,cosine,0.645,0.1481481481481481,0.0769230769230769,0.1012658227848101,0.4439968814968815,,,,,200,52,148,0.0407559685409069,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1M,US Treasury yield 1 month,arccosh,0.585,0.0303030303030303,0.0192307692307692,0.0235294117647058,0.3082120582120582,,,,,200,52,148,0.0219998434185981,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\cnn_autoencoder\US1M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,exponential,0.7,0.375,0.2307692307692307,0.2857142857142857,0.5216995841995842,,,,,200,52,148,0.2379989862442016,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,cosine,0.67,0.28125,0.173076923076923,0.2142857142857142,0.5836798336798337,,,,,200,52,148,0.129913169145584,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,arctan,0.71,0.3125,0.0961538461538461,0.1470588235294117,0.6087577962577961,,,,,200,52,148,0.0255035575479268,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1M,US Treasury yield 1 month,arccosh,0.6,0.0333333333333333,0.0192307692307692,0.024390243902439,0.2879417879417879,,,,,200,52,148,0.0539361223578453,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\standalone_fanogan\US1M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,cosine,0.585,0.0,0.0,0.0,0.3969034417826132,0.0,4.0,117.0,79.0,200,79,121,0.1744310058653354,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1M,US Treasury yield 1 month,exponential,0.525,0.1,0.02531645569620253,0.04040404040404041,0.4307982006486034,2.0,18.0,103.0,77.0,200,79,121,0.08201185613870617,D:\tadgan_gaf\f_anogan\market_crash-main\bond_1m_30y_compare_e20_daily\hybrid\US1M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
