pipeline,method,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,n_rows
CNN autoencoder,exponential,0.69,0.20588235294117646,0.0673076923076923,0.10144927536231885,0.3152286902286902,2
CNN autoencoder,arctan,0.6925,0.125,0.03846153846153845,0.0588235294117647,0.36882796257796246,2
CNN autoencoder,cosine,0.6575,0.07407407407407406,0.03846153846153845,0.05063291139240505,0.2809901247401247,2
CNN autoencoder,arccosh,0.595,0.01515151515151515,0.0096153846153846,0.0117647058823529,0.24720634095634098,2
Hybrid TadGAN-GAF-f-AnoGAN,exponential,0.635,0.05,0.012658227848101266,0.020202020202020204,0.446173679659582,2
Hybrid TadGAN-GAF-f-AnoGAN,arctan,0.6725,0.5,0.006329113924050635,0.0125,0.46150461321179603,2
Hybrid TadGAN-GAF-f-AnoGAN,arccosh,0.595,0.0,0.0,0.0,0.38908155308978554,2
Hybrid TadGAN-GAF-f-AnoGAN,cosine,0.6425,0.0,0.0,0.0,0.3838918543915152,2
f-AnoGAN standalone,exponential,0.675,0.1875,0.11538461538461535,0.14285714285714285,0.38130197505197505,2
f-AnoGAN standalone,cosine,0.6725000000000001,0.140625,0.0865384615384615,0.1071428571428571,0.43171777546777546,2
f-AnoGAN standalone,arctan,0.6975,0.15625,0.04807692307692305,0.07352941176470584,0.5053274428274428,2
f-AnoGAN standalone,arccosh,0.6475,0.01666666666666665,0.0096153846153846,0.0121951219512195,0.3176325363825363,2
