pipeline,dataset,comparison,baseline_method,n,baseline_rank_brier_loss,exponential_rank_brier_loss,loss_diff_baseline_minus_exp,dm_stat_positive_exp_better,p_one_sided_exp_better,exp_lower_loss,significant_5pct
CNN autoencoder,US3M,exponential vs cosine,cosine,200,0.3497678275290215,0.3339966832504146,0.01577114427860693,1.8894621555334645,0.02941496457125422,True,True
CNN autoencoder,US3M,exponential vs arctan,arctan,200,0.32603648424543946,0.3339966832504146,-0.007960199004975133,-0.9334940156698514,0.8247175205862943,False,False
CNN autoencoder,US3M,exponential vs arccosh,arccosh,200,0.41673300165837474,0.3339966832504146,0.08273631840796014,5.310301393675147,5.47220460150865e-08,True,True
f-AnoGAN standalone,US3M,exponential vs cosine,cosine,200,0.30837479270315094,0.27568822553897177,0.03268656716417917,2.198887317003846,0.013942967832815806,True,True
f-AnoGAN standalone,US3M,exponential vs arctan,arctan,200,0.294742951907131,0.27568822553897177,0.019054726368159247,1.5528233683806614,0.06023266914909929,True,False
f-AnoGAN standalone,US3M,exponential vs arccosh,arccosh,200,0.36076285240464345,0.27568822553897177,0.08507462686567169,5.6785480416115375,6.7921441221226685e-09,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US3M,exponential vs cosine,cosine,200,0.3909369817578773,0.33088723051409624,0.060049751243781035,4.678417070392557,1.445490248149962e-06,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US3M,exponential vs arctan,arctan,200,0.44173300165837476,0.33088723051409624,0.11084577114427852,7.404088040289615,6.602739823651201e-14,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US3M,exponential vs arccosh,arccosh,200,0.47914593698175784,0.33088723051409624,0.1482587064676616,7.914902272811788,1.2372369159128814e-15,True,True
CNN autoencoder,US1Y,exponential vs cosine,cosine,200,0.34046434494195693,0.31106135986733,0.02940298507462691,3.106475338504326,0.0009466605015916814,True,True
CNN autoencoder,US1Y,exponential vs arctan,arctan,200,0.31941956882255385,0.31106135986733,0.008358208955223823,0.9099476833016783,0.18142505050793087,True,False
CNN autoencoder,US1Y,exponential vs arccosh,arccosh,200,0.3731011608623549,0.31106135986733,0.062039800995024874,4.646633865795201,1.6869760961420036e-06,True,True
f-AnoGAN standalone,US1Y,exponential vs cosine,cosine,200,0.3011111111111111,0.24140961857379767,0.05970149253731344,3.7994030602014526,7.25225164632634e-05,True,True
f-AnoGAN standalone,US1Y,exponential vs arctan,arctan,200,0.25723051409618575,0.24140961857379767,0.01582089552238808,1.2752325056597258,0.10111347957941975,True,False
f-AnoGAN standalone,US1Y,exponential vs arccosh,arccosh,200,0.2943946932006633,0.24140961857379767,0.052985074626865636,3.1112941993094267,0.0009313463027137611,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,exponential vs cosine,cosine,200,0.229742951907131,0.1625787728026534,0.06716417910447761,4.927812799402061,4.157761540532115e-07,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,exponential vs arctan,arctan,200,0.2596434494195688,0.1625787728026534,0.0970646766169154,5.368367558445791,3.972625196905688e-08,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,exponential vs arccosh,arccosh,200,0.25203150912106137,0.1625787728026534,0.08945273631840797,5.952938989189359,1.3168474947422085e-09,True,True
CNN autoencoder,US5Y,exponential vs cosine,cosine,200,0.40981757877280267,0.403150912106136,0.006666666666666654,0.6786057190149292,0.2486938591051694,True,False
CNN autoencoder,US5Y,exponential vs arctan,arctan,200,0.41807628524046436,0.403150912106136,0.014925373134328346,1.6473122021151885,0.04974694555176397,True,True
CNN autoencoder,US5Y,exponential vs arccosh,arccosh,200,0.3777280265339967,0.403150912106136,-0.025422885572139342,-1.694892992275014,0.9549521389291209,False,False
f-AnoGAN standalone,US5Y,exponential vs cosine,cosine,200,0.4060862354892205,0.4182255389718076,-0.012139303482587072,-0.8217327867149078,0.794385502655973,False,False
f-AnoGAN standalone,US5Y,exponential vs arctan,arctan,200,0.4107131011608624,0.4182255389718076,-0.007512437810945183,-0.47190169145312144,0.6815015196545868,False,False
f-AnoGAN standalone,US5Y,exponential vs arccosh,arccosh,200,0.39807628524046434,0.4182255389718076,-0.020149253731343242,-1.0890202593711384,0.8619275241146291,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,exponential vs cosine,cosine,200,0.18103648424543947,0.18208126036484246,-0.0010447761194029848,-0.12420886221260866,0.5494250472258065,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,exponential vs arctan,arctan,200,0.18705638474295191,0.18208126036484246,0.004975124378109458,0.48639608055420663,0.31334318447131704,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US5Y,exponential vs arccosh,arccosh,200,0.1733250414593698,0.18208126036484246,-0.008756218905472651,-0.8330942647699616,0.7976042160560312,False,False
CNN autoencoder,US10Y,exponential vs cosine,cosine,200,0.3440961857379768,0.3726036484245439,-0.02850746268656712,-2.4248554122135126,0.9923427576303859,False,False
CNN autoencoder,US10Y,exponential vs arctan,arctan,200,0.39991708126036485,0.3726036484245439,0.02731343283582094,2.759189273093118,0.0028972481641602365,True,True
CNN autoencoder,US10Y,exponential vs arccosh,arccosh,200,0.37270315091210615,0.3726036484245439,9.950248756224189e-05,0.006844081076921346,0.49726962800369934,True,False
f-AnoGAN standalone,US10Y,exponential vs cosine,cosine,200,0.4088225538971808,0.37966832504145936,0.029154228855721442,1.4172087075488635,0.07821095835603364,True,False
f-AnoGAN standalone,US10Y,exponential vs arctan,arctan,200,0.41683250414593703,0.37966832504145936,0.03716417910447767,2.744841518805082,0.0030270062960391334,True,True
f-AnoGAN standalone,US10Y,exponential vs arccosh,arccosh,200,0.40862354892205643,0.37966832504145936,0.02895522388059707,1.4008764834683693,0.08062550608613077,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,exponential vs cosine,cosine,200,0.3427031509121061,0.3522553897180763,-0.00955223880597017,-0.6055284214233562,0.727586026950733,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,exponential vs arctan,arctan,200,0.35489220563847423,0.3522553897180763,0.002636815920397939,0.12073793059945724,0.4519493072383652,True,False
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,exponential vs arccosh,arccosh,200,0.36165837479270313,0.3522553897180763,0.009402985074626835,0.6492268657041008,0.2580958745414118,True,False
CNN autoencoder,US20Y,exponential vs cosine,cosine,200,0.41708126036484244,0.43728026533996683,-0.02019900497512439,-1.5038820093734122,0.9336941249591466,False,False
CNN autoencoder,US20Y,exponential vs arctan,arctan,200,0.4298673300165838,0.43728026533996683,-0.007412935323383052,-0.8351024983063705,0.7981699999189635,False,False
CNN autoencoder,US20Y,exponential vs arccosh,arccosh,200,0.4287728026533996,0.43728026533996683,-0.008507462686567213,-0.48452625489930357,0.685993782002969,False,False
f-AnoGAN standalone,US20Y,exponential vs cosine,cosine,200,0.3933001658374793,0.3701658374792703,0.023134328358209,1.0274549715675974,0.1521031389740455,True,False
f-AnoGAN standalone,US20Y,exponential vs arctan,arctan,200,0.35359867330016587,0.3701658374792703,-0.01656716417910442,-0.9598548603633894,0.8314358664204617,False,False
f-AnoGAN standalone,US20Y,exponential vs arccosh,arccosh,200,0.42414593698175784,0.3701658374792703,0.053980099502487555,2.5519970769796783,0.0053553708673235246,True,True
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,exponential vs cosine,cosine,200,0.3325041459369818,0.3325041459369818,0.0,0.0,0.5,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,exponential vs arctan,arctan,200,0.3325041459369818,0.3325041459369818,0.0,4.9174064015040194e-17,0.5,False,False
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,exponential vs arccosh,arccosh,200,0.33250414593698174,0.3325041459369818,-5.551115123125783e-17,-1.289131230354635e-16,0.5,False,False
