pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
CNN autoencoder,US3M,US Treasury yield 3 month,exponential,0.695,0.3333333333333333,0.173076923076923,0.2278481012658227,0.4961018711018711,,,,,200,52,148,0.0583615377545356,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US3M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US3M,US Treasury yield 3 month,cosine,0.71,0.35,0.1346153846153846,0.1944444444444444,0.4549116424116424,,,,,200,52,148,0.0457778014242649,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US3M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US3M,US Treasury yield 3 month,arctan,0.74,0.5,0.1153846153846153,0.1875,0.5168918918918919,,,,,200,52,148,0.0083284834399819,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US3M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US3M,US Treasury yield 3 month,arccosh,0.7,0.0,0.0,0.0,0.2800155925155925,,,,,200,52,148,0.0154728284105658,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US3M_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US3M,US Treasury yield 3 month,exponential,0.735,0.4878048780487805,0.3846153846153846,0.4301075268817204,0.6483887733887734,,,,,200,52,148,0.2342650353908538,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US3M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US3M,US Treasury yield 3 month,arctan,0.75,0.5384615384615384,0.2692307692307692,0.358974358974359,0.5986226611226612,,,,,200,52,148,0.0235089097172021,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US3M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US3M,US Treasury yield 3 month,cosine,0.735,0.48,0.2307692307692307,0.3116883116883117,0.5630197505197505,,,,,200,52,148,0.1303937405347824,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US3M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US3M,US Treasury yield 3 month,arccosh,0.73,0.4285714285714285,0.1153846153846153,0.1818181818181818,0.4261954261954261,,,,,200,52,148,0.0570653408765792,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US3M_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US3M,US Treasury yield 3 month,cosine,0.605,0.0,0.0,0.0,0.373314637040233,0.0,6.0,121.0,73.0,200,73,127,0.138596249371767,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US3M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US3M,US Treasury yield 3 month,exponential,0.51,0.0,0.0,0.0,0.5035055549563154,0.0,25.0,102.0,73.0,200,73,127,0.08412024192512035,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US3M_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
