pipeline,method,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,n_rows
CNN autoencoder,exponential,0.7110000000000001,0.26666666666666666,0.0769230769230769,0.11541089009443437,0.39784303534303533,5
CNN autoencoder,cosine,0.715,0.22999999999999998,0.0423076923076923,0.06695906432748536,0.39620582120582115,5
CNN autoencoder,arctan,0.706,0.32,0.03846153846153842,0.0657697947214076,0.3794438669438669,5
CNN autoencoder,arccosh,0.692,0.0,0.0,0.0,0.33989085239085237,5
Hybrid TadGAN-GAF-f-AnoGAN,arctan,0.718,0.2689655172413793,0.05008818342151675,0.08143405889884761,0.5401008698550742,5
Hybrid TadGAN-GAF-f-AnoGAN,cosine,0.682,0.15714285714285714,0.03492063492063492,0.05714285714285714,0.5994435072390846,5
Hybrid TadGAN-GAF-f-AnoGAN,arccosh,0.645,0.18181818181818182,0.03174603174603174,0.05405405405405406,0.5247254746783325,5
Hybrid TadGAN-GAF-f-AnoGAN,exponential,0.647,0.0,0.0,0.0,0.6564301924056255,5
f-AnoGAN standalone,exponential,0.692,0.2975609756097561,0.13846153846153847,0.1801391524351676,0.4881756756756757,5
f-AnoGAN standalone,arctan,0.73,0.30769230769230765,0.10384615384615384,0.15179487179487178,0.4631237006237006,5
f-AnoGAN standalone,cosine,0.719,0.296,0.09230769230769229,0.13733766233766234,0.41894490644490645,5
f-AnoGAN standalone,arccosh,0.696,0.2917748917748918,0.03846153846153842,0.06288770053475931,0.38326403326403324,5
