backtest_idx,window_start,fanogan_score,threshold,true_tadgan_is_anomaly,true_label_user_0crash_1not,pred_label_user_0crash_1not
0,1273,0.009332234971225262,0.02835652232170105,0,1,1
1,1274,0.0074175684712827206,0.02835652232170105,0,1,1
2,1275,0.00902028288692236,0.02835652232170105,0,1,1
3,1276,0.00827237218618393,0.02835652232170105,0,1,1
4,1277,0.010647839866578579,0.02835652232170105,0,1,1
5,1278,0.011762166395783424,0.02835652232170105,0,1,1
6,1279,0.012794365175068378,0.02835652232170105,0,1,1
7,1280,0.0141157740727067,0.02835652232170105,0,1,1
8,1281,0.015310746617615223,0.02835652232170105,0,1,1
9,1282,0.018497996032238007,0.02835652232170105,0,1,1
10,1283,0.025367192924022675,0.02835652232170105,0,1,1
11,1284,0.02675453945994377,0.02835652232170105,0,1,1
12,1285,0.03875541314482689,0.02835652232170105,0,1,0
13,1286,0.03765074163675308,0.02835652232170105,0,1,0
14,1287,0.03527293726801872,0.02835652232170105,0,1,0
15,1288,0.030595440417528152,0.02835652232170105,0,1,0
16,1289,0.020903214812278748,0.02835652232170105,0,1,1
17,1290,0.013050267472863197,0.02835652232170105,0,1,1
18,1291,0.011482475325465202,0.02835652232170105,0,1,1
19,1292,0.00968651007860899,0.02835652232170105,0,1,1
20,1293,0.01011073961853981,0.02835652232170105,0,1,1
21,1294,0.0075022210367023945,0.02835652232170105,0,1,1
22,1295,0.010684406384825706,0.02835652232170105,0,1,1
23,1296,0.013552727177739143,0.02835652232170105,0,1,1
24,1297,0.015204200521111488,0.02835652232170105,0,1,1
25,1298,0.015488594770431519,0.02835652232170105,0,1,1
26,1299,0.016753869131207466,0.02835652232170105,0,1,1
27,1300,0.020054282620549202,0.02835652232170105,0,1,1
28,1301,0.01794489100575447,0.02835652232170105,0,1,1
29,1302,0.022386958822607994,0.02835652232170105,0,1,1
30,1303,0.025813672691583633,0.02835652232170105,0,1,1
31,1304,0.016406603157520294,0.02835652232170105,0,1,1
