dataset,scenario,method,n_test,crash_onset,first_signal_date,lead_time_days,strat_return,buyhold_return,excess_return
SP500_U500,COVID19_market_crash,cosine,100,2020-02-20,2020-02-07,11.0,-0.15121159036630583,-0.11180570448209304,-0.03940588588421279
SP500_U500,COVID19_market_crash,exponential,100,2020-02-20,2020-01-30,18.0,-0.15667684725582176,-0.11180570448209304,-0.04487114277372872
SP500_U500,COVID19_market_crash,arctan,100,2020-02-20,,,-0.11180570448209415,-0.11180570448209304,-1.1102230246251565e-15
SP500_U500,COVID19_market_crash,arccosh,100,2020-02-20,2020-02-28,-7.0,-0.13780959249118474,-0.11180570448209304,-0.026003888009091702
SP500_U500,Russia_Ukraine_war_crash,cosine,102,2022-02-11,2021-12-11,52.0,0.03535349025060941,-0.001261148321297978,0.03661463857190739
SP500_U500,Russia_Ukraine_war_crash,exponential,102,2022-02-11,2021-12-03,59.0,-0.03832200264076557,-0.001261148321297978,-0.037060854319467595
SP500_U500,Russia_Ukraine_war_crash,arctan,102,2022-02-11,2021-12-07,56.0,0.06366052125148824,-0.001261148321297978,0.06492166957278622
SP500_U500,Russia_Ukraine_war_crash,arccosh,102,2022-02-11,2021-12-03,59.0,-0.04845264431303942,-0.001261148321297978,-0.04719149599174144
SP500_U500,Chinese_real_asset_market_crash,cosine,158,2023-08-07,2023-08-16,-8.0,0.08306725857034936,0.06787888096400763,0.01518837760634173
SP500_U500,Chinese_real_asset_market_crash,exponential,158,2023-08-07,2023-08-10,-3.0,0.0606830916302612,0.06787888096400763,-0.007195789333746427
SP500_U500,Chinese_real_asset_market_crash,arctan,158,2023-08-07,2023-09-09,-29.0,0.0727246461387514,0.06787888096400763,0.004845765174743777
SP500_U500,Chinese_real_asset_market_crash,arccosh,158,2023-08-07,2023-08-16,-8.0,0.06450042810158796,0.06787888096400763,-0.0033784528624196675
DAX_INDEX,COVID19_market_crash,cosine,100,2020-02-20,2020-01-12,34.0,-0.11304227603617345,-0.19807880353210072,0.08503652749592727
DAX_INDEX,COVID19_market_crash,exponential,100,2020-02-20,2020-01-12,34.0,-0.22295426199904822,-0.19807880353210072,-0.024875458466947498
DAX_INDEX,COVID19_market_crash,arctan,100,2020-02-20,2020-01-12,34.0,-0.005495799448865579,-0.19807880353210072,0.19258300408323514
DAX_INDEX,COVID19_market_crash,arccosh,100,2020-02-20,2020-01-12,34.0,-0.22513702900656396,-0.19807880353210072,-0.027058225474463238
DAX_INDEX,Russia_Ukraine_war_crash,cosine,101,2022-02-11,2021-12-26,41.0,-0.050731654590526865,-0.04642371273754731,-0.004307941852979558
DAX_INDEX,Russia_Ukraine_war_crash,exponential,101,2022-02-11,2021-12-31,36.0,-0.0377535800703348,-0.04642371273754731,0.008670132667212505
DAX_INDEX,Russia_Ukraine_war_crash,arctan,101,2022-02-11,2021-12-28,39.0,-0.02100110023202384,-0.04642371273754731,0.025422612505523468
DAX_INDEX,Russia_Ukraine_war_crash,arccosh,101,2022-02-11,2021-12-30,37.0,-0.05437237697515074,-0.04642371273754731,-0.007948664237603431
DAX_INDEX,Chinese_real_asset_market_crash,cosine,158,2023-08-07,2023-06-06,53.0,0.09849136060704522,0.03649102912244673,0.06200033148459849
DAX_INDEX,Chinese_real_asset_market_crash,exponential,158,2023-08-07,2023-06-06,53.0,0.08119458079101527,0.03649102912244673,0.04470355166856854
DAX_INDEX,Chinese_real_asset_market_crash,arctan,158,2023-08-07,2023-06-21,40.0,0.05843853324432935,0.03649102912244673,0.02194750412188262
DAX_INDEX,Chinese_real_asset_market_crash,arccosh,158,2023-08-07,2023-06-06,53.0,0.05396832024904796,0.03649102912244673,0.017477291126601235
DJIA_U30,COVID19_market_crash,cosine,100,2020-02-20,2020-01-31,17.0,0.058550750385734984,-0.16467237851618022,0.2232231289019152
DJIA_U30,COVID19_market_crash,exponential,100,2020-02-20,2020-01-28,20.0,-0.13177610134587658,-0.16467237851618022,0.032896277170303634
DJIA_U30,COVID19_market_crash,arctan,100,2020-02-20,2020-02-05,13.0,-0.07618726223122019,-0.16467237851618022,0.08848511628496003
DJIA_U30,COVID19_market_crash,arccosh,100,2020-02-20,2020-01-27,21.0,-0.17606624435220886,-0.16467237851618022,-0.011393865836028638
DJIA_U30,Russia_Ukraine_war_crash,cosine,102,2022-02-11,2021-12-10,53.0,0.06986830082659545,0.007372881274594567,0.062495419552000886
DJIA_U30,Russia_Ukraine_war_crash,exponential,102,2022-02-11,2021-12-13,51.0,0.042338681123501365,0.007372881274594567,0.0349657998489068
DJIA_U30,Russia_Ukraine_war_crash,arctan,102,2022-02-11,2021-12-16,48.0,0.03140128021221389,0.007372881274594567,0.024028398937619322
DJIA_U30,Russia_Ukraine_war_crash,arccosh,102,2022-02-11,2021-12-07,56.0,-0.0025479784789558257,0.007372881274594567,-0.009920859753550393
DJIA_U30,Chinese_real_asset_market_crash,cosine,102,2023-08-07,2023-08-19,-11.0,0.01779286623421794,0.0246892882116454,-0.006896421977427458
DJIA_U30,Chinese_real_asset_market_crash,exponential,102,2023-08-07,2023-08-17,-9.0,0.0025068682510123175,0.0246892882116454,-0.022182419960633082
DJIA_U30,Chinese_real_asset_market_crash,arctan,102,2023-08-07,2023-08-19,-11.0,0.03228364869954814,0.0246892882116454,0.00759436048790274
DJIA_U30,Chinese_real_asset_market_crash,arccosh,102,2023-08-07,2023-09-13,-32.0,0.0647870730102944,0.0246892882116454,0.040097784798649005
