target_far,k,episode,asset,hybrid2,standalone_fanogan,standalone_tadgan
0.05,1,COVID,EURUSD,27.0,27.0,
0.05,1,COVID,GOLD,-7.0,-7.0,
0.05,1,COVID,USOIL,,,54.0
0.05,1,Chinese,EURUSD,-97.0,-97.0,
0.05,1,Chinese,GOLD,-27.0,-27.0,
0.05,1,Iran 2025,EURUSD,-34.0,-34.0,
0.05,1,Iran 2025,GOLD,19.0,19.0,50.0
0.05,1,Iran 2025,USOIL,,,32.0
0.05,1,Iran 2026,GOLD,6.0,6.0,50.0
0.05,1,Iran 2026,USOIL,7.0,7.0,4.0
0.05,1,Russia-Ukraine,EURUSD,3.0,3.0,13.0
0.05,1,Russia-Ukraine,GOLD,8.0,8.0,
0.05,1,Russia-Ukraine,USOIL,,,-16.0
0.05,2,COVID,EURUSD,26.0,26.0,
0.05,2,COVID,GOLD,-24.0,-24.0,
0.05,2,COVID,USOIL,,,53.0
0.05,2,Chinese,EURUSD,-98.0,-98.0,
0.05,2,Chinese,GOLD,-28.0,-28.0,
0.05,2,Iran 2025,EURUSD,-34.0,-34.0,
0.05,2,Iran 2025,GOLD,18.0,18.0,49.0
0.05,2,Iran 2025,USOIL,,,31.0
0.05,2,Iran 2026,GOLD,,,49.0
0.05,2,Iran 2026,USOIL,,,3.0
0.05,2,Russia-Ukraine,EURUSD,2.0,2.0,13.0
0.05,2,Russia-Ukraine,GOLD,7.0,7.0,
0.05,2,Russia-Ukraine,USOIL,,,-17.0
0.05,3,COVID,EURUSD,25.0,25.0,
0.05,3,COVID,GOLD,-25.0,-25.0,
0.05,3,COVID,USOIL,,,52.0
0.05,3,Chinese,EURUSD,-98.0,-98.0,
0.05,3,Chinese,GOLD,-29.0,-29.0,
0.05,3,Iran 2025,EURUSD,15.0,15.0,
0.05,3,Iran 2025,GOLD,17.0,17.0,48.0
0.05,3,Iran 2025,USOIL,,,27.0
0.05,3,Iran 2026,GOLD,,,48.0
0.05,3,Iran 2026,USOIL,,,2.0
0.05,3,Russia-Ukraine,EURUSD,11.0,11.0,12.0
0.05,3,Russia-Ukraine,GOLD,6.0,6.0,
