episode,asset,method,mapping,target_far,k,tau,control_far,first_alarm,lead_days,event_alarm_rate,n_event_windows,n_control_windows
COVID,USOIL,anomaly_transformer,exponential,0.05,1,0.015959,0.0469,2020-05-08,-55.0,0.0548,146,128
COVID,USOIL,anomaly_transformer,exponential,0.05,2,0.01431,0.0469,2020-05-11,-56.0,0.0479,146,128
COVID,USOIL,anomaly_transformer,exponential,0.05,3,0.01096,0.0469,2020-05-11,-56.0,0.0479,146,128
COVID,USOIL,anomaly_transformer,exponential,0.1,1,0.01096,0.0938,2020-05-07,-54.0,0.0616,146,128
COVID,USOIL,anomaly_transformer,exponential,0.1,2,0.00973,0.0938,2020-05-08,-55.0,0.0548,146,128
COVID,USOIL,anomaly_transformer,exponential,0.1,3,0.008688,0.0938,2020-05-08,-55.0,0.0548,146,128
COVID,USOIL,anomaly_transformer,exponential,0.2,1,0.003182,0.1953,2020-04-29,-48.0,0.1096,146,128
COVID,USOIL,anomaly_transformer,exponential,0.2,2,0.000581,0.1953,2020-04-15,-38.0,0.1781,146,128
COVID,USOIL,anomaly_transformer,exponential,0.2,3,0.000471,0.1953,2020-04-16,-39.0,0.1712,146,128
COVID,USOIL,autoencoder,exponential,0.05,1,0.47314,0.0469,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.05,2,0.359852,0.0469,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.05,3,0.346315,0.0469,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.1,1,0.302608,0.0938,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.1,2,0.262534,0.0938,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.1,3,0.252953,0.0938,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.2,1,0.188557,0.1953,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.2,2,0.144388,0.1953,,,0.0,146,128
COVID,USOIL,autoencoder,exponential,0.2,3,0.143446,0.1875,,,0.0,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.05,1,0.034855,0.0469,,,0.0,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.05,2,0.032119,0.0391,,,0.0,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.05,3,0.02944,0.0469,,,0.0,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.1,1,0.029475,0.0938,,,0.0,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.1,2,0.028592,0.0859,2020-07-20,-104.0,0.0068,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.1,3,0.026104,0.0859,2020-07-20,-104.0,0.0068,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.2,1,0.020989,0.1953,2020-07-14,-100.0,0.0548,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.2,2,0.015097,0.1953,2020-07-14,-100.0,0.089,146,128
COVID,USOIL,cnn_autoencoder,exponential,0.2,3,0.013931,0.1953,2020-07-15,-101.0,0.089,146,128
COVID,USOIL,dagmm,exponential,0.05,1,20.021452,0.0469,2020-04-22,-43.0,0.0342,146,128
COVID,USOIL,dagmm,exponential,0.05,2,17.1885,0.0469,2020-04-23,-44.0,0.0274,146,128
COVID,USOIL,dagmm,exponential,0.05,3,12.719187,0.0469,2020-04-24,-45.0,0.0205,146,128
COVID,USOIL,dagmm,exponential,0.1,1,10.84568,0.0938,2020-04-22,-43.0,0.0548,146,128
COVID,USOIL,dagmm,exponential,0.1,2,4.422081,0.0938,2020-04-23,-44.0,0.1507,146,128
COVID,USOIL,dagmm,exponential,0.1,3,3.202278,0.0938,2020-04-24,-45.0,0.1438,146,128
COVID,USOIL,dagmm,exponential,0.2,1,2.668188,0.1953,2020-04-09,-35.0,0.1986,146,128
COVID,USOIL,dagmm,exponential,0.2,2,0.971113,0.1953,2020-03-11,-14.0,0.2397,146,128
COVID,USOIL,dagmm,exponential,0.2,3,-0.451806,0.1953,2020-03-12,-15.0,0.2329,146,128
COVID,USOIL,deep_svdd,exponential,0.05,1,0.001129,0.0469,2020-04-15,-38.0,0.226,146,128
COVID,USOIL,deep_svdd,exponential,0.05,2,0.000979,0.0469,2020-04-16,-39.0,0.226,146,128
COVID,USOIL,deep_svdd,exponential,0.05,3,0.000844,0.0469,2020-04-15,-38.0,0.2808,146,128
COVID,USOIL,deep_svdd,exponential,0.1,1,0.000982,0.0938,2020-01-21,21.0,0.3151,146,128
COVID,USOIL,deep_svdd,exponential,0.1,2,0.000828,0.0938,2020-04-14,-37.0,0.3219,146,128
COVID,USOIL,deep_svdd,exponential,0.1,3,0.000796,0.0859,2020-04-15,-38.0,0.3014,146,128
COVID,USOIL,deep_svdd,exponential,0.2,1,0.000815,0.1953,2020-01-21,21.0,0.3904,146,128
COVID,USOIL,deep_svdd,exponential,0.2,2,0.000658,0.1953,2020-01-22,20.0,0.411,146,128
COVID,USOIL,deep_svdd,exponential,0.2,3,0.000625,0.1953,2020-01-22,20.0,0.4178,146,128
COVID,USOIL,hybrid2,arccosh,0.05,1,0.053686,0.0469,,,0.0,146,128
COVID,USOIL,hybrid2,arccosh,0.05,2,0.051616,0.0469,,,0.0,146,128
COVID,USOIL,hybrid2,arccosh,0.05,3,0.050125,0.0391,,,0.0,146,128
COVID,USOIL,hybrid2,arccosh,0.1,1,0.045238,0.0938,,,0.0,146,128
COVID,USOIL,hybrid2,arccosh,0.1,2,0.042841,0.0938,,,0.0,146,128
COVID,USOIL,hybrid2,arccosh,0.1,3,0.040416,0.0859,,,0.0,146,128
COVID,USOIL,hybrid2,arccosh,0.2,1,0.028519,0.1953,2020-04-16,-39.0,0.089,146,128
COVID,USOIL,hybrid2,arccosh,0.2,2,0.026267,0.1953,2020-04-29,-48.0,0.089,146,128
COVID,USOIL,hybrid2,arccosh,0.2,3,0.023946,0.1953,2020-04-15,-38.0,0.1096,146,128
COVID,USOIL,hybrid2,arctan,0.05,1,0.015834,0.0469,2020-04-21,-42.0,0.2329,146,128
COVID,USOIL,hybrid2,arctan,0.05,2,0.014588,0.0469,2020-04-22,-43.0,0.2055,146,128
COVID,USOIL,hybrid2,arctan,0.05,3,0.01433,0.0469,2020-04-23,-44.0,0.2055,146,128
COVID,USOIL,hybrid2,arctan,0.1,1,0.01476,0.0938,2020-04-21,-42.0,0.2329,146,128
COVID,USOIL,hybrid2,arctan,0.1,2,0.013413,0.0938,2020-04-22,-43.0,0.2397,146,128
COVID,USOIL,hybrid2,arctan,0.1,3,0.012573,0.0859,2020-04-23,-44.0,0.2329,146,128
COVID,USOIL,hybrid2,arctan,0.2,1,0.013052,0.1953,2020-04-21,-42.0,0.2877,146,128
COVID,USOIL,hybrid2,arctan,0.2,2,0.011442,0.1875,2020-04-22,-43.0,0.2671,146,128
COVID,USOIL,hybrid2,arctan,0.2,3,0.010555,0.1875,2020-04-22,-43.0,0.2671,146,128
COVID,USOIL,hybrid2,cosine,0.05,1,0.140705,0.0469,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,hybrid2,cosine,0.05,2,0.130912,0.0469,2020-04-23,-44.0,0.1849,146,128
COVID,USOIL,hybrid2,cosine,0.05,3,0.125501,0.0469,2020-04-24,-45.0,0.1781,146,128
