event,asset,method,n,prevalence,auc,average_precision,quantile,threshold_from,threshold,accuracy,precision,recall,f1,false_alarm_rate,alarm_rate
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.7,control,8.4e-05,0.719178,0.944444,0.465753,0.623853,0.027397,0.246575
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.7,test,3e-05,0.773973,0.954545,0.575342,0.717949,0.027397,0.30137
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.75,control,0.000398,0.69863,0.967742,0.410959,0.576923,0.013699,0.212329
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.75,test,7.5e-05,0.726027,0.945946,0.479452,0.636364,0.027397,0.253425
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.8,control,0.002495,0.623288,1.0,0.246575,0.395604,0.0,0.123288
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.8,test,0.000545,0.684932,0.965517,0.383562,0.54902,0.013699,0.19863
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.85,control,0.006235,0.582192,1.0,0.164384,0.282353,0.0,0.082192
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.85,test,0.001295,0.636986,0.954545,0.287671,0.442105,0.013699,0.150685
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.9,control,0.009815,0.561644,1.0,0.123288,0.219512,0.0,0.061644
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.9,test,0.004343,0.60274,1.0,0.205479,0.340909,0.0,0.10274
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.95,control,0.015011,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.95,test,0.01537,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.975,control,0.023053,0.534247,1.0,0.068493,0.128205,0.0,0.034247
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.975,test,0.028377,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.99,control,0.027176,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,anomaly_transformer,146,0.5,0.890974,0.906311,0.99,test,0.042015,0.513699,1.0,0.027397,0.053333,0.0,0.013699
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.7,control,0.121725,0.486301,0.0,0.0,0.0,0.027397,0.013699
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.7,test,0.064474,0.417808,0.363636,0.219178,0.273504,0.383562,0.30137
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.75,control,0.139078,0.493151,0.0,0.0,0.0,0.013699,0.006849
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.75,test,0.071497,0.424658,0.351351,0.178082,0.236364,0.328767,0.253425
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.8,control,0.182935,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.8,test,0.076882,0.452055,0.37931,0.150685,0.215686,0.246575,0.19863
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.85,control,0.246574,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.85,test,0.084946,0.445205,0.318182,0.09589,0.147368,0.205479,0.150685
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.9,control,0.281677,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.9,test,0.092212,0.465753,0.333333,0.068493,0.113636,0.136986,0.10274
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.95,control,0.369417,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.95,test,0.102889,0.458904,0.125,0.013699,0.024691,0.09589,0.054795
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.975,control,0.512833,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.975,test,0.109789,0.472603,0.0,0.0,0.0,0.054795,0.027397
COVID-19,USOIL,autoencoder,146,0.5,0.450929,0.448868,0.99,control,0.542555,0.5,0.0,0.0,0.0,0.0,0.0
